publication_id,date,analyst,analyst_seniority,sector,report_type,channel,region,client_tier,word_count,has_chart,num_charts,has_video,report_page_count,has_price_target,topic_sensitivity,subject_line_length,send_hour,is_monday,is_friday,is_market_open,is_quarter_end,days_to_earnings,subscriber_count,num_explicit_recipients,prev_avg_reads,prev_report_reads,analyst_30d_avg_reads,analyst_publish_frequency,days_since_last_pub,reads
PUB_0001,2024-10-16,Analyst_14,Mid,Fixed Income,Morning Brief,Email,EMEA,Tier 1,1543,1,7,0,38,0,1,90,6,0,0,0,0,14,3288,1313,638,459,594,Weekly,21,1119
PUB_0002,2023-04-25,Analyst_4,Managing Director,Credit,Earnings Preview,Portal,APAC,Tier 2,1202,1,7,0,7,0,1,51,11,0,0,1,0,31,370,0,642,452,683,Bi-weekly,16,1383
PUB_0003,2023-01-26,Analyst_18,Senior,Equity,Deep Dive,Web,Americas,Tier 3,462,1,5,1,7,1,1,23,14,0,0,1,0,11,4965,0,454,719,406,Bi-weekly,13,1442
PUB_0004,2023-10-09,Analyst_8,Senior,Credit,Morning Brief,Email,Americas,Tier 3,2274,1,2,1,26,0,0,39,7,1,0,0,0,4,4056,504,685,533,697,Monthly,13,2255
PUB_0005,2023-09-08,Analyst_21,Junior,Credit,Flash Note,Email,EMEA,Tier 3,569,0,0,0,26,0,0,55,19,0,1,0,0,63,271,1356,580,353,535,Bi-weekly,17,354
PUB_0006,2023-08-17,Analyst_5,Junior,Macro,Weekly Outlook,Web,EMEA,Tier 3,931,1,1,0,19,0,0,51,8,0,0,0,0,70,373,0,663,673,707,Weekly,27,280
PUB_0007,2023-05-23,Analyst_30,Junior,Macro,Earnings Preview,Email,APAC,Tier 3,1205,1,4,0,9,0,0,47,15,0,0,1,0,85,2406,1425,126,705,90,Weekly,7,365
PUB_0008,2023-04-15,Analyst_9,Managing Director,Commodities,Earnings Preview,Email,APAC,Tier 3,2314,1,9,0,20,0,1,96,10,0,0,1,0,26,1258,717,278,817,298,Daily,8,1023
PUB_0009,2024-11-23,Analyst_27,Senior,Equity,Morning Brief,Web,EMEA,Tier 2,1941,1,4,1,16,0,1,20,14,0,0,1,0,78,1806,0,346,67,338,Bi-weekly,13,724
PUB_0010,2024-07-12,Analyst_5,Senior,Macro,Morning Brief,Email,Americas,Tier 2,504,0,9,0,17,1,1,79,9,0,1,1,0,44,1871,376,559,233,602,Weekly,23,1384
PUB_0011,2023-03-31,Analyst_3,Junior,Commodities,Deep Dive,Email,Americas,Tier 2,881,0,0,0,22,0,0,75,6,0,1,0,1,34,521,1065,764,454,804,Bi-weekly,27,702
PUB_0012,2024-08-27,Analyst_2,Managing Director,Equity,Earnings Preview,Portal,EMEA,Tier 3,1879,1,0,0,13,1,1,54,9,0,0,1,0,25,1309,0,622,848,652,Monthly,16,1684
PUB_0013,2024-03-08,Analyst_6,Senior,Macro,Earnings Preview,Web,EMEA,Tier 3,1140,1,8,0,12,0,1,49,11,0,1,1,0,22,4775,0,587,180,554,Bi-weekly,29,1365
PUB_0014,2023-02-02,Analyst_26,Mid,Credit,Deep Dive,Portal,Americas,Tier 1,2136,1,1,0,10,0,1,73,10,0,0,1,0,12,990,0,632,528,603,Weekly,4,725
